E811	ParkingLocation
E812	MapCompassTop
E813	MapCompassBottom
E814	IncidentTriangle
E815	Touch
E816	MapDirections
E819	StartPoint
E81A	StopPoint
E81B	EndPoint
E81C	History
E81D	Location
E81E	MapLayers
E81F	Accident
E821	Work
E822	Construction
E823	Recent
E825	Bank
E826	DownloadMap
E829	InkingToolFill2
E82A	HighlightFill2
E82B	EraseToolFill
E82C	EraseToolFill2
E82D	Dictionary
E82E	DictionaryAdd
E82F	ToolTip
E830	ChromeBack
E835	ProvisioningPackage
E836	AddRemoteDevice
E839	Ethernet
E83A	 ShareBroadband
E83B	DirectAccess
E83C	 DialUp
E83D	DefenderApp
E83E	BatteryCharging9
E83F	Battery10
E840	Pinned
E841	PinFill
E842	PinnedFill
E843	PeriodKey
E844	PuncKey
E845	RevToggleKey
E846	RightArrowKeyTime1
E847	RightArrowKeyTime2
E848	LeftQuote
E849	RightQuote
E84A	DownShiftKey
E84B	UpShiftKey
E84C	PuncKey0
E84D	PuncKeyLeftBottom
E84E	RightArrowKeyTime3
E84F	RightArrowKeyTime4
E850	Battery0
E851	Battery1
E852	Battery2
E853	Battery3
E854	Battery4
E855	Battery5
E856	Battery6
E857	Battery7
E858	Battery8
E859	Battery9
E85A	BatteryCharging0
E85B	BatteryCharging1
E85C	BatteryCharging2
E85D	BatteryCharging3
E85E	BatteryCharging4
E85F	BatteryCharging5
E860	BatteryCharging6
E861	BatteryCharging7
E862	BatteryCharging8
E863	BatterySaver0
E864	BatterySaver1
E865	BatterySaver2
E866	BatterySaver3
E867	BatterySaver4
E868	BatterySaver5
E869	BatterySaver6
E86A	BatterySaver7
E86B	BatterySaver8
E86C	SignalBars1
E86D	SignalBars2
E86E	SignalBars3
E86F	SignalBars4
E870	SignalBars5
E871	SignalNotConnected
E872	Wifi1
E873	Wifi2
E874	Wifi3
E875	SIMLock
E876	SIMMissing
E877	Vibrate
E878	RoamingInternational
E879	RoamingDomestic
E87A	CallForwardInternational
E87B	CallForwardRoaming
E87C	JpnRomanji
E87D	JpnRomanjiLock
E87E	JpnRomanjiShift
E87F	JpnRomanjiShiftLock
E880	StatusDataTransfer
E881	StatusDataTransferVPN
E882	StatusDualSIM2
E883	StatusDualSIM2VPN
E884	StatusDualSIM1
E885	StatusDualSIM1VPN
E886	StatusSGLTE
E887	StatusSGLTECell
E888	StatusSGLTEDataVPN
E889	StatusVPN
E88A	WifiHotspot
E88B	LanguageKor
E88C	LanguageCht
E88D	LanguageChs
E88E	USB
E88F	InkingToolFill
E890	View
E891	HighlightFill
E892	Previous
E893	Next
E894	Clear
E895	Sync
E896	Download
E897	Help
E898	Upload
E899	Emoji
E89A	TwoPage
E89B	LeaveChat
E89C	MailForward
E89E	RotateCamera
E89F	ClosePane
E8A0	OpenPane
E8A1	PreviewLink
E8A2	AttachCamera
E8A3	ZoomIn
E8A4	Bookmarks
E8A5	Document
E8A6	ProtectedDocument
E8A7	OpenInNewWindow
E8A8	MailFill
E8A9	ViewAll
E8AA	VideoChat
E8AB	Switch
E8AC	Rename
E8AD	Go
E8AE	SurfaceHub
E8AF	Remote
E8B0	Click
E8B1	Shuffle
E8B2	Movies
E8B3	SelectAll
E8B4	Orientation
E8B5	Import
E8B6	ImportAll
E8B7	Folder
E8B8	Webcam
E8B9	Picture
E8BA	Caption
E8BB	ChromeClose
E8BC	ShowResults
E8BD	Message
E8BE	Leaf
E8BF	CalendarDay
E8C0	CalendarWeek
E8C1	Characters
E8C2	MailReplyAll
E8C3	Read
E8C4	ShowBcc
E8C5	HideBcc
E8C6	Cut
E8C8	Copy
E8C9	Important
E8CA	MailReply
E8CB	Sort
E8CC	MobileTablet
E8CD	DisconnectDrive
E8CE	MapDrive
E8CF	ContactPresence
E8D0	Priority
E8D1	GotoToday
E8D2	Font
E8D3	FontColor
E8D4	Contact2
E8D5	FolderFill
E8D6	Audio
E8D7	Permissions
E8D8	DisableUpdates
E8D9	Unfavorite
E8DA	OpenLocal
E8DB	Italic
E8DC	Underline
E8DD	Bold
E8DE	MoveToFolder
E8DF	LikeDislike
E8E0	Dislike
E8E1	Like
E8E2	AlignRight
E8E3	AlignCenter
E8E4	AlignLeft
E8E5	OpenFile
E8E6	ClearSelection
E8E7	FontDecrease
E8E8	FontIncrease
E8E9	FontSize
E8EA	CellPhone
E8EB	Reshare
E8EC	Tag
E8ED	RepeatOne
E8EE	RepeatAll
E8EF	Calculator
E8F0	Directions
E8F1	Library
E8F2	ChatBubbles
E8F3	PostUpdate
E8F4	NewFolder
E8F5	CalendarReply
E8F6	UnsyncFolder
E8F7	SyncFolder
E8F8	BlockContact
E8F9	SwitchApps
E8FA	AddFriend
E8FB	Accept
E8FC	GoToStart
E8FD	BulletedList
E8FE	Scan
E8FF	Preview
E904	ZeroBars
E905	OneBar
E906	TwoBars
E907	ThreeBars
E908	FourBars
E909	World
E90A	Comment
E90B	MusicInfo
E90C	DockLeft
E90D	DockRight
E90E	DockBottom
E90F	Repair
E910	Accounts
E911	DullSound
E912	Manage
E913	Street
E914	Printer3D
E915	RadioBullet
E916	Stopwatch
E91B	Photo
E91C	ActionCenter
E91F	FullCircleMask
E921	ChromeMinimize
E922	ChromeMaximize
E923	ChromeRestore
E924	Annotation
E925	BackSpaceQWERTYSm
E926	BackSpaceQWERTYMd
E927	Swipe
E928	Fingerprint
E929	Handwriting
E92C	ChromeBackToWindow
E92D	ChromeFullScreen
E92E	KeyboardStandard
E92F	KeyboardDismiss
E930	Completed
E931	ChromeAnnotate
E932	Label
E933	IBeam
E934	IBeamOutline
E935	FlickDown
E936	FlickUp
E937	FlickLeft
E938	FlickRight
E939	FeedbackApp
E93C	MusicAlbum
E93E	Streaming
E943	Code
E944	ReturnToWindow
E945	LightningBolt
E946	Info
E947	CalculatorMultiply
E948	CalculatorAddition
E949	CalculatorSubtract
E94A	CalculatorDivide
E94B	CalculatorSquareroot
E94C	CalculatorPercentage
E94D	CalculatorNegate
E94E	CalculatorEqualTo
E94F	CalculatorBackspace
E950	Component
E951	DMC
